4," Chuột nhỏ gọn, thuận tiện cho việc di chuyển   Kết nối rất nhanh, ổn định.   Với các bạn nam tay to thì cầm sẽ cảm giác bị hụt phía sau, không ôm hết được bàn tay, nên sẽ hơi mỏi khi làm việc liên tục và lâu."
4,"Click chuột êm, không phát ra âm thanh nên nhiều khi chưa biết click hay chưa   Kết nối nhanh, không bị trễ"
4,"có hộp, đúng mô tả, chính hãng   đã kiểm tra thử tốc độ nhanh"
4,"Copy dữ liệu nhanh, tốc độ ổn định   tem bảo hành rất thếu thẩm mỹ  đề nghị bảo hành theo số in trên thẻ   Khi nhận hàng, sản phẩm bị cắt bao bì do dán tem, có cảm giác khôngyên tâm về mặt chất lượng"
4,"Đánh giá đầu tiên là chuột nhỏ gọn, vừa lòng bàn tay, dây dài, có tem chống giả dán trên chuột.Tiki đóng gói hàng tốt, giao hàng nhanh, đặt chủ nhật, hẹn thứ 4 mà thứ 2 đã có."
4," Đánh giá đầu tiên là chuột nhỏ gọn, vừa lòng bàn tay, dây dài, có tem chống giả dán trên chuột. Tiki đóng gói hàng tốt, giao hàng nhanh, đặt chủ nhật, hẹn thứ 4 mà thứ 2 đã có."
4,  Đóng gói cẩn thận   Giao hàng siêu nhanh   Hàng chính hãng Samsung     Nhà cung cấp : Tin Học   Viễn Thông
4,"  Đóng gói cẩn thận, dịch vụ tốt. Mình mua 1 lần bị hư nhưng đã được đổi trả lại cái mới  tuy thời gian đổi trả hơi lâu nhưng tiki luôn quan tâm tới khách hàng.   Chất lượng âm thanh tốt trong tầm giá."
4,"  Đóng gói cẩn thận, giao hàng nhanh.   Đã check mã và cho kết quả là hàng chính hãng.   Hộp đựng màu đỏ nổi bật, tặng kèm cáp đẹp Micro USB.   Hơi nặng tay tí, nhưng pin 20000mAh thì như vậy là hợp lí rồi.   Quá ngon trong tầm giá."
4,"  Đóng gói khá ổn, không cần đến mức chống shock như HDD bình thường, hàng chính hãng kèm HDSD đầy đủ.    Nên chọn WD blue cho tốc độ đọc ghi nhanh hơn WD green nhé"
4,"  Giá đang được khuyến mãi nên mình hốt ngay luôn, giá rẻ nhưng xài rất mượt. Chuột khá nhỏ nhắn và tiện lợi cho việc đem đi bất cứ đâu. Đầu usb cắm vào mt có thể bỏ vào bên trong chuột luôn nên siêu siêu tiện lợi và giúp những con người có trí nhớ cá vàng như mình sẽ không để mất, hay bị quên. Chất lượng lâu dài thì mình chưa dám khẳng định vì mới mua thôi.   Về phần Tiki, giao hàng rất nhanh, mình mới đặt hôm tối thứ  "
